storenum,store,region,latitude,longitude,address,city,state,zip,geostate,geocounty
10144,Academy,Rocky Mountain,35.1464796,-106.5558882,5815 Wyoming Blvd NE,Albuquerque,NM,87109,0400000US35,0500000US35001
10371,Andover,North Atlantic,42.660969,-71.145048,40 Railroad St,Andover,MA,1810,0400000US25,0500000US25009
10507,Arlington Center,North Atlantic,42.4163119,-71.1594685,808 Massachusetts Ave,Arlington,MA,2476,0400000US25,0500000US25017
10090,Bedford,North Atlantic,42.4903382,-71.2741086,170 Great Rd,Bedford,MA,1730,0400000US25,0500000US25017
10153,Bellevue,Pacific Northwest,47.6185386,-122.1845645,888 116th Ave NE,Bellevue,WA, NULL,0400000US53,0500000US53033
10091,Bellingham,North Atlantic,42.1114476,-71.4615713,255 Hartford Ave,Bellingham,MA,2019,0400000US25,0500000US25021
10366,Bishops Corner,North Atlantic,41.7846983,-72.7454007,340 N Main St,West Hartford,CT,6117,0400000US09,0500000US09003
10236,Bowery,Northeast,40.7238111,-73.9923524,95 E Houston St,New York,NY,10002,0400000US36,0500000US36061
10266,Bridgeport,Pacific Northwest,45.3944296,-122.7518953,7380 SW Bridgeport Rd,Tigard,OR,97224,0400000US41,0500000US41067
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA, NULL,0400000US25,0500000US25025
10220,Brooklyn,Northeast,40.6753309,-73.9885628,214 3rd St,Brooklyn,NY, NULL,0400000US36,0500000US36047
10405,Capitol Hill,Rocky Mountain,39.7333039,-104.975853,900 E 11th Ave,Denver,CO,80218,0400000US08,0500000US08031
10104,Cerrillos,Rocky Mountain,35.6786877,-105.9504541,753 Cerrillos Rd,Santa Fe,NM,87505,0400000US35,0500000US35049
10158,Charles River Plaza,North Atlantic,42.3620497,-71.0653595,181 Cambridge St,Boston,MA,2114,0400000US25,0500000US25025
10509,Charlestown,North Atlantic,42.3755995,-71.0661905,51 Austin St,Charlestown,MA,2129,0400000US25,0500000US25025
10131,Chelsea,Northeast,40.7450809,-73.9953523,250 7th Avenue,New York,NY,10001,0400000US36,0500000US36061
10095,Cherry Creek,Rocky Mountain,39.7186124,-104.9572998,2375 E 1st Ave,Denver,CO,80206,0400000US08,0500000US08031
10350,Colfax,Rocky Mountain,39.7365013,-105.1613364,14357 W Colfax Ave,Golden,CO,80401,0400000US08,0500000US08059
10160,Columbus Circle,Northeast,40.7684141,-73.9827037,10 Columbus Cir,New York,NY,10019,0400000US36,0500000US36061
10254,Cranston,North Atlantic,41.755926,-71.4560769,151 Sockanosset Cross Rd,Cranston,RI,2920,0400000US44,0500000US44007
10300,Darien,Northeast,41.0731747,-73.4762617,150 Ledge Rd,Darien,CT,6820,0400000US09,0500000US09001
10319,Dedham,North Atlantic,42.2330347,-71.1779592,300 Legacy Pl,Dedham,MA,2026,0400000US25,0500000US25021
10532,Draper,Rocky Mountain,40.543134,-111.890747,11479 S. State Street,Draper,UT, NULL,0400000US49,0500000US49035
